	篇名	作者	学位授予单位	数据库	学位授予年度	被引	下载	操作
179	甲状腺功能正常的超重/肥胖患者TSH水平与代谢指标的相关性及中医证型分布规律研究	周容	成都中医药大学	硕士	2023	1	70	原版阅读      CNKI AI阅读
180	以月经正常肥胖及超重女性为对照研究脾虚痰湿PCOS患者生活习惯与健康自我管理能力	陈雨	成都中医药大学	硕士	2023		294	原版阅读      CNKI AI阅读
181	俞募配穴埋线联合中药治疗肥胖伴痤疮（脾虚湿盛型）的临床疗效观察	苏娅	成都中医药大学	硕士	2023		198	原版阅读      CNKI AI阅读
182	毫火针治疗向心性肥胖合并高胰岛素血症（脾气虚型）的临床疗效观察	吴珺	天津中医药大学	硕士	2023		133	原版阅读      CNKI AI阅读
183	北京市平谷区学龄儿童肥胖预测模型构建及中医体质分布研究	王琼	北京中医药大学	硕士	2023		235	原版阅读      CNKI AI阅读
184	调体质无痛减肥法对气虚质腹型肥胖的临床疗效观察	刘思韵	广州中医药大学	硕士	2023		163	原版阅读      CNKI AI阅读
185	针灸治疗孕前妇女肥胖合并抑郁障碍的临床研究	尹丽红	广州中医药大学	硕士	2023		132	原版阅读      CNKI AI阅读
186	针刺结合夹脊穴埋线治疗脾虚湿阻型腹型肥胖的临床疗效观察	万有魁	浙江中医药大学	硕士	2023	1	524	原版阅读      CNKI AI阅读
187	超重及肥胖PCOS患者中医证型分布特征及其与性激素和糖脂代谢指标的相关性分析	胡斌	黑龙江中医药大学	硕士	2023	2	333	原版阅读      CNKI AI阅读
188	基于数据挖掘和网络药理学的肥胖合并多囊卵巢综合征用药规律及机制分析	尚筱曼	辽宁中医药大学	硕士	2023	1	367	原版阅读      CNKI AI阅读
189	基于“阳化气，阴成形”理论的痰湿质单纯性肥胖人群的中医体重管理研究	张千旭	湖南中医药大学	硕士	2023		598	原版阅读      CNKI AI阅读
190	应用德尔菲法探究辽宁地区肥胖型2型糖尿病常见中医证型及分类指标	刘懿萱	辽宁中医药大学	硕士	2023	5	982	原版阅读      CNKI AI阅读
191	基于MAPK信号通路探讨丹参和四物汤“抗肥胖”的作用机制	张娴	江西中医药大学	硕士	2023	1	317	原版阅读      CNKI AI阅读
192	益肾健脾养血通利法改善肥胖型PCOS胰岛素抵抗及慢性炎症的临床研究	孙艺玲	北京中医药大学	硕士	2023		147	原版阅读      CNKI AI阅读
193	昆明地区单纯性肥胖中医证素及其证候的分布规律研究	苏春丽	云南中医药大学	硕士	2023		184	原版阅读      CNKI AI阅读
194	俞募埋线干预女性虚-实腹型肥胖肠道菌群双向调节机制研究	曾选香	云南中医药大学	硕士	2023		160	原版阅读      CNKI AI阅读
195	穴位埋线结合耳压治疗脾虚湿盛型单纯性肥胖的临床研究	姚蓉蓉	云南中医药大学	硕士	2023	1	498	原版阅读      CNKI AI阅读
196	荷苡苦丁饮治疗肥胖合并非酒精性脂肪性肝病的临床疗效评价及对血清鸢尾素、脂联素水平的影响	杨琦	安徽中医药大学	硕士	2023		193	原版阅读      CNKI AI阅读
197	通调三焦温针灸联合饮食运动疗法治疗脾虚湿阻型腹型肥胖的临床疗效观察	王静	安徽中医药大学	硕士	2023	2	432	原版阅读      CNKI AI阅读
198	电针背俞穴为主对痰浊中阻型超重及肥胖2型糖尿病患者临床疗效和胰岛素抵抗的影响	朱悦	安徽中医药大学	硕士	2023	1	247	原版阅读      CNKI AI阅读
199	养精疏肝方联合达英-35治疗非肥胖型多囊卵巢综合征（肾虚肝郁证）的临床研究	陈梦娜	安徽中医药大学	硕士	2023		485	原版阅读      CNKI AI阅读
200	穴位贴敷联合利拉鲁肽治疗肥胖T2DM湿热蕴结证的临床观察	赵娜	承德医学院	硕士	2023	1	211	原版阅读      CNKI AI阅读
	中文题名	作者	学位授予单位	数据库	学位授予年度	被引	下载	操作
201	寻常型银屑病伴超重/肥胖的中西医临床特征及潜在机制研究	罗亚	广州中医药大学	博士	2022		203	原版阅读      CNKI AI阅读
202	清肝滋肾方对肥胖高血压患者血清sST2表达的影响	江慧楠	南京中医药大学	硕士	2022	2	344	原版阅读      CNKI AI阅读
203	针刺联合中药治疗肥胖型多囊卵巢综合征的Meta分析	尹萱颖	黑龙江中医药大学	硕士	2022	7	1354	原版阅读      CNKI AI阅读
204	《黄帝内经》肥胖理论研究	王赢平	山东中医药大学	硕士	2022	2	785	原版阅读      CNKI AI阅读
205	清眩颗粒治疗高血压伴肥胖及对肠道菌群的调控作用	梅延康	山东中医药大学	硕士	2022	2	440	原版阅读      CNKI AI阅读
206	基于microRNA-217探讨半夏白术天麻汤改善肥胖相关性高血压的机制研究	姜月华	山东中医药大学	博士	2022	4	1184	原版阅读      CNKI AI阅读
207	八段锦结合穴位埋线对单纯性肥胖大学生BMI影响的研究	王宁	山东中医药大学	硕士	2022	4	480	原版阅读      CNKI AI阅读
208	项七针对单纯性肥胖患者相关指标影响的临床研究	宗晨旭	山东中医药大学	硕士	2022		172	原版阅读      CNKI AI阅读
209	基于代谢组学技术探讨健脾调肝饮治疗单纯性肥胖的作用机制	田明慧	山东中医药大学	硕士	2022	2	700	原版阅读      CNKI AI阅读
210	健脾祛湿隔药灸脐干预痰湿质肥胖的临床疗效观察	姜伟佳	山东中医药大学	硕士	2022	2	315	原版阅读      CNKI AI阅读
211	针刺对湿热质单纯性肥胖人群临床疗效及脂代谢的影响	毕婕妤	山东中医药大学	硕士	2022	5	332	原版阅读      CNKI AI阅读
212	疏调带脉对围绝经期肥胖女性腰围影响的研究	罗倩	山东中医药大学	硕士	2022		218	原版阅读      CNKI AI阅读
213	基于皮下脂肪厚度检测的穴位埋线治疗单纯性肥胖的效应研究	张烨	山东中医药大学	硕士	2022	1	256	原版阅读      CNKI AI阅读
214	基于人体成分分析肥胖型与非肥胖型PCOS患者临床特征及中医体质的研究	姬程程	山东中医药大学	硕士	2022	3	506	原版阅读      CNKI AI阅读
215	基于mTOR信号通路对nesfatin-1的调控探讨健脾调肝饮防治肥胖机理的实验及临床研究	林小琬	山东中医药大学	硕士	2022	1	181	原版阅读      CNKI AI阅读
216	启宫丸联合拮抗剂方案对行IVF痰湿证肥胖型PCOS患者VEGF和IL-6的影响	韩绍华	山东中医药大学	硕士	2022		162	原版阅读      CNKI AI阅读
217	基于文献的针刺效应分子网络构建方法研究——以单纯性肥胖为例	熊婕	中国中医科学院	博士	2022	2	899	原版阅读      CNKI AI阅读
218	涤痰逐瘀汤联合二甲双胍治疗肥胖型PCOS-IR的临床疗效观察	唐洁	成都中医药大学	硕士	2022		69	原版阅读      CNKI AI阅读
219	平胃散加味联合洛塞那肽注射液治疗超重/肥胖2型糖尿病（脾虚湿困证）的临床研究	仲奕瑾	成都中医药大学	硕士	2022		69	原版阅读      CNKI AI阅读
220	2型糖尿病患者肥胖指标切点分析及其与中医证型的关系	陈如梦	成都中医药大学	硕士	2022		51	原版阅读      CNKI AI阅读
221	基于文献的杵针点穴操作规范研制及杵针点穴“泻法”干预肥胖大鼠效应机制研究	刘瑶瑶	成都中医药大学	硕士	2022		117	原版阅读      CNKI AI阅读
222	电针调节下丘脑mTOR/p70S6K信号通路的肥胖大鼠减重作用研究	游翕	成都中医药大学	硕士	2022		92	原版阅读      CNKI AI阅读
223	基于痰湿体质从HPA轴与褪黑素探讨腹型肥胖与睡眠之间的关系	张达	北京中医药大学	硕士	2022		158	原版阅读      CNKI AI阅读
224	平衡火罐在女性脾虚湿阻型单纯性肥胖的临床应用研究	周俊丽	广州中医药大学	硕士	2022	1	282	原版阅读      CNKI AI阅读
225	芪丹颗粒治疗肥胖2型糖尿病的疗效观察和机制探讨	陈敏静	广州中医药大学	硕士	2022		62	原版阅读      CNKI AI阅读
226	电针结合互联网管理生活方式治疗超重/肥胖多囊卵巢综合征的临床研究	张思君	广州中医药大学	硕士	2022		69	原版阅读      CNKI AI阅读
227	通元疗法穴位埋线治疗脾肾阳虚型单纯性肥胖的临床观察	吴品萱（WU, PIN-HSUAN）	广州中医药大学	硕士	2022		145	原版阅读      CNKI AI阅读
228	联合“改良清湿膳食”餐包的禁食模拟饮食干预痰湿体质超重/肥胖人群动态脑血流自动调节功能的探索性研究	毛慧	广州中医药大学	硕士	2022		59	原版阅读      CNKI AI阅读
229	单纯性肥胖患者脾虚湿阻证与内脏脂肪面积、脂肪偏好的相关性研究	卢赵琦	广州中医药大学	硕士	2022		47	原版阅读      CNKI AI阅读
230	清秀饮对痰湿型腹型肥胖多囊卵巢综合征的临床疗效研究	王淑芬	广州中医药大学	硕士	2022		130	原版阅读      CNKI AI阅读
231	桑黄调糖方联合二甲双胍治疗肥胖型T2DM痰热互结证的临床观察	孟繁硕	华北理工大学	硕士	2022	1	186	原版阅读      CNKI AI阅读
232	不同间隔时间的穴位埋线法治疗脾虚湿阻型单纯性肥胖的临床研究	刘金红	北京中医药大学	硕士	2022	1	390	原版阅读      CNKI AI阅读
233	虎符铜砭刮痧治疗脾虚湿阻型腹型肥胖的临床疗效观察	何惠昌	河南中医药大学	硕士	2022	5	511	原版阅读      CNKI AI阅读
234	化湿通络方治疗肥胖2型糖尿病痰湿阻络证的临床观察	肖秋	湖北民族大学	硕士	2022	2	432	原版阅读      CNKI AI阅读
235	化痰祛湿汤联合氨氯地平治疗肥胖患者高血压肾病的疗效观察	徐鹏	黑龙江中医药大学	硕士	2022		218	原版阅读      CNKI AI阅读
236	成年超重/肥胖男性不同体型人群的证素特点及相关因素分析	缪志颖	福建中医药大学	硕士	2022	2	282	原版阅读      CNKI AI阅读
237	基于细胞自噬探讨温胆汤干预肥胖痰湿证炎症状态的作用机制研究	张一文	江西中医药大学	硕士	2022	5	340	原版阅读      CNKI AI阅读
238	除湿降脂方治疗成人单纯性肥胖痰湿内盛证的临床观察	刘峰	湖南中医药大学	硕士	2022	9	665	原版阅读      CNKI AI阅读
239	山参汤对肥胖型多囊卵巢综合征脾虚痰湿证患者胰岛素抵抗的影响	彭展鸿	湖南中医药大学	硕士	2022	2	284	原版阅读      CNKI AI阅读
240	加味平胃散治疗脾虚痰湿证肥胖型糖尿病前期的临床疗效观察	黄文忠	福建中医药大学	硕士	2022	5	639	原版阅读      CNKI AI阅读
241	清胃热化脾湿治疗青春期肥胖型PCOS脂代谢异常的临床观察	侯佳睿	黑龙江中医药大学	硕士	2022	2	255	原版阅读      CNKI AI阅读
242	基于数据挖掘分析姚美玉教授治疗肥胖型多囊卵巢综合征的用药规律	胡晓明	黑龙江中医药大学	硕士	2022	2	584	原版阅读      CNKI AI阅读
243	超重/肥胖人群中医体质分布及相关因素分析	谷容欢	黑龙江中医药大学	硕士	2022	14	1038	原版阅读      CNKI AI阅读
244	连陈汤治疗肥胖的临床疗效及对血清IL-6、IL-10、GLP-1及PYY的影响	尹东	黑龙江中医药大学	硕士	2022	7	383	原版阅读      CNKI AI阅读
245	清胃热化脾湿治疗青春期肥胖型PCOS-IR的临床观察	高超逸	黑龙江中医药大学	硕士	2022	3	204	原版阅读      CNKI AI阅读
246	清胃热化脾湿治疗育龄期肥胖型PCOS脂代谢异常的临床观察	于悦	黑龙江中医药大学	硕士	2022	3	151	原版阅读      CNKI AI阅读
247	针药结合治疗脾虚痰湿肥胖型PCOS糖代谢异常的临床观察	孔德敏	黑龙江中医药大学	硕士	2022	11	361	原版阅读      CNKI AI阅读
248	姚美玉教授治疗非肥胖型PCOS的用药规律研究	孙洁	黑龙江中医药大学	硕士	2022	2	171	原版阅读      CNKI AI阅读
249	中西药联合穴位埋线治疗肥胖型PCOS伴IR的临床研究	李亚蕊	黑龙江中医药大学	硕士	2022	3	388	原版阅读      CNKI AI阅读
250	清胃热化脾湿治疗育龄期肥胖型PCOS-IR的临床疗效观察	邢慧	黑龙江中医药大学	硕士	2022	4	152	原版阅读      CNKI AI阅读
	中文题名	作者	学位授予单位	数据库	学位授予年度	被引	下载	操作
251	合谷刺治疗脾虚湿阻型单纯性肥胖的临床疗效观察	吴民民	黑龙江中医药大学	硕士	2022	4	399	原版阅读      CNKI AI阅读
252	脐周八穴埋线治疗肥胖性脂肪肝的临床研究	林红菊	长春中医药大学	硕士	2022	6	438	原版阅读      CNKI AI阅读
253	超重/肥胖2型糖尿病患者不同糖化血红蛋白的舌象研究	袁佳	天津中医药大学	硕士	2022	3	189	原版阅读      CNKI AI阅读
254	大柴胡汤联合利拉鲁肽控制肥胖合并2型糖尿病患者体重的临床疗效研究	郑小格	青海大学	硕士	2022	1	247	原版阅读      CNKI AI阅读
255	半夏泻心汤加减方对高海拔地区痰浊壅阻型糖调节受损肥胖患者内皮功能（ET、NO、FMD）的影响	张旭	青海大学	硕士	2022	1	124	原版阅读      CNKI AI阅读
256	痰瘀互结型肥胖2型糖尿病患者的肠道菌群相关性研究	张宇多	辽宁中医药大学	硕士	2022	1	150	原版阅读      CNKI AI阅读
257	眼针疗法（揿针）治疗脾虚湿阻型单纯性肥胖临床疗效观察	肖佳琛	辽宁中医药大学	硕士	2022	1	371	原版阅读      CNKI AI阅读
258	基于数字化舌象及临床理化指标肥胖2型糖尿病患者舌诊相关研究	张宁宁	辽宁中医药大学	硕士	2022	8	406	原版阅读      CNKI AI阅读
259	湿热困脾证肥胖2型糖尿病患者肠道菌群的特征研究	赵婉婷	辽宁中医药大学	硕士	2022	5	174	原版阅读      CNKI AI阅读
260	补肾化痰方联合轻断食法对肥胖型多囊卵巢综合征的临床观察	李言	辽宁中医药大学	硕士	2022	1	305	原版阅读      CNKI AI阅读
261	肥胖型2型糖尿病的中医证治规律研究	张亚菲	河南中医药大学	硕士	2022		223	原版阅读      CNKI AI阅读
262	基于瘦素抵抗探讨连术消渴方对肥胖2型糖尿病湿热互结兼瘀证患者糖脂代谢及炎症因子的影响	吉兰洁	河南中医药大学	硕士	2022	1	152	原版阅读      CNKI AI阅读
263	基于病-症表征的MAFLD疾病分型及肥胖MAFLD口-肠菌群特征研究	卢晨霞	湖北中医药大学	博士	2022	2	718	原版阅读      CNKI AI阅读
264	参苓白术散联合二甲双胍治疗超重/肥胖2型糖尿病脾虚湿困证患者的临床疗效观察	曾少武	湖北中医药大学	硕士	2022	9	740	原版阅读      CNKI AI阅读
265	肥胖患者的临床特征及中医证型分析	肖勇	湖北中医药大学	硕士	2022	10	902	原版阅读      CNKI AI阅读
266	糖肝煎联合度拉糖肽治疗超重或肥胖型T2DM（湿热蕴结证）临床观察	陈星	湖北中医药大学	硕士	2022	6	174	原版阅读      CNKI AI阅读
267	超重肥胖2型糖尿病不同中医证型与25羟维生素D的相关性研究	刘家迪	湖北中医药大学	硕士	2022	3	442	原版阅读      CNKI AI阅读
268	穴位埋线联合化湿减肥茶治疗脾虚湿阻型产后肥胖的临床研究	毛丹	河南中医药大学	硕士	2022	2	599	原版阅读      CNKI AI阅读
269	电针结合脐灸治疗阳虚质腹型肥胖的临床研究	徐蔻	湖北中医药大学	硕士	2022	11	562	原版阅读      CNKI AI阅读
270	肥胖伴蛋白尿患者的中医证型及相关因素探析	王紫瑗	广西中医药大学	硕士	2022	1	201	原版阅读      CNKI AI阅读
271	穴位埋线结合耳压治疗腹型肥胖的临床观察	刘凯琪	广西中医药大学	硕士	2022	8	663	原版阅读      CNKI AI阅读
272	代谢综合征腹型肥胖中医评价方法及代综方对白色脂肪棕色化的影响	徐婧	北京中医药大学	博士	2022	4	577	原版阅读      CNKI AI阅读
