	篇名	作者	刊名	发表时间	被引	下载	操作
258	2002-2022年中医药治疗慢性肾衰竭研究热点及趋势可视化分析	张晨 任艳芸 冯露夷 王佳丽 韩笑 汤融 白永祥	中国中医药图书情报杂志	2024-03-01	2	536	HTML阅读      CNKI AI阅读
259	基于文献计量学的中药治疗眼病可视化分析	高欣 张彩芳 李治芳 施杰 周鑫 张霞	湖南中医杂志	2024-02-28		521	HTML阅读      CNKI AI阅读
260	基于Citespace的中医药治疗非哺乳期乳腺炎文献计量分析	叶美贤 王宇坤 梁藐尹 王雅惠 巫建辉	中国民族医药杂志	2024-02-28	3	240	HTML阅读      CNKI AI阅读
261	基于知识图谱的金匮肾气丸相关研究可视化分析	荣红国 邢叶一祎 郭慧娟 李红凯	中国药物评价	2024-02-28	2	299	HTML阅读      CNKI AI阅读
262	基于CiteSpace的中医药治疗膀胱癌知识图谱可视化分析	李芳丽 王紫艳 陈燕	中医药导报	2024-02-28	2	475	HTML阅读      CNKI AI阅读
263	基于CiteSpace的中医药治疗高脂血症的可视化分析	陈俊杰 戴小华	山西中医药大学学报	2024-02-28		322	HTML阅读      CNKI AI阅读
264	基于CiteSpace和VOSviewer对于近20年中医治疗青光眼视神经病变的可视化分析	杨凡 左韬	中医临床研究	2024-02-26 18:22	1	896	HTML阅读      CNKI AI阅读
265	认知衰弱中医领域研究热点及趋势分析	宋丽虹 马影蕊 刘悦 王英杰	实用中医内科杂志	2024-02-26 16:18	1	843	HTML阅读      CNKI AI阅读
266	基于CiteSpace的骨质疏松症中医外治法可视化分析	齐士坤 徐明明 张秀芳 吴宗壁 朱梦霞 冯倩 李淑贤 骆家骐	全科护理	2024-02-25	3	639	HTML阅读      CNKI AI阅读
267	基于CiteSpace可视化分析中医药防治高尿酸血症的研究热点和趋势	刘梦文 沈静 吐尔逊阿依·达吾提 肖辉	新疆医科大学学报	2024-02-15	1	360	HTML阅读      CNKI AI阅读
268	基于CiteSpace和VOSviewer的中医外治法治疗失眠的可视化分析	徐媛媛 唐娜娜 陈抒鹏 缪慧慧 王思梦	中国民间疗法	2024-02-14	1	418	HTML阅读      CNKI AI阅读
269	基于CiteSpace的中医药治疗神经源性膀胱知识图谱可视化分析	尚文雅 盛誉妍	中医临床研究	2024-02-02 19:38	3	866	HTML阅读      CNKI AI阅读
270	基于Citespace分析中医翻译研究的现状与趋势	刘萍萍 厍宇 李海英	中国中医基础医学杂志	2024-02-01	3	1612	HTML阅读      CNKI AI阅读
271	基于Citespace的气虚血瘀型冠心病知识图谱可视化分析 网络首发	李佳铭 姜钧文	中医临床研究	2024-01-30 12:31		535	HTML阅读      CNKI AI阅读
272	医学院校课程融合思政教育的研究现状、热点与趋势——基于VOSviewer和CiteSpace软件的文献计量学分析	赵霏 张旭东 赵晋 阿赛古丽 王小恒	卫生职业教育	2024-01-30	6	868	HTML阅读      CNKI AI阅读
273	我国中医药教育研究现状与热点的CiteSpace知识图谱分析	荣红国 高千泰 郝学增	中医教育	2024-01-30	4	517	HTML阅读      CNKI AI阅读
274	基于Citespace的益气活血类方治疗心力衰竭临床研究的可视化分析	连妍洁 来晓磊 刘红旭 尚菊菊 邢文龙 贾思涵 吴亦荷	世界中西医结合杂志	2024-01-28	2	395	HTML阅读      CNKI AI阅读
275	基于CiteSpace的中医药防治心肌缺血再灌注损伤知识图谱分析	贾海女 李瑞菡 黄凯琳 张健真 张笑笑 张雨晴 王茜 吴焕林	世界中西医结合杂志	2024-01-28	1	407	HTML阅读      CNKI AI阅读
276	近20年中医药治疗功能性便秘研究现况可视化分析	曹巍巍 李鹏 朱煜璋 郭修田	世界中西医结合杂志	2024-01-28	7	560	HTML阅读      CNKI AI阅读
277	基于CiteSpace的龙胆泻肝汤研究现状及热点可视化分析	谢荣桂 裴景茹 赵鸿	湖南中医杂志	2024-01-28	1	501	HTML阅读      CNKI AI阅读
278	基于CiteSpace的中医药治疗肺炎支原体感染的可视化研究	王旭 韩耀巍 孙丹 李焕敏 李艳娇 王慧哲 张乃金 孟勐 李新民	天津中医药大学学报	2024-01-28		275	HTML阅读      CNKI AI阅读
279	基于CiteSpace的中医药治疗下肢缺血性疾病的文献计量学研究	蔡晓婷 刘娜婷 林凡 王鹤	中国当代医药	2024-01-28		209	HTML阅读      CNKI AI阅读
280	中医外治法治疗溃疡性结肠炎的CiteSpace可视化分析	彭婷婷 张小丫 洪艳燕	中国临床研究	2024-01-25 18:34	4	562	HTML阅读      CNKI AI阅读
281	基于多种方法的黄政德教授学术研究可视化图谱分析	朱晓颖 张书萌 周江敏 张纯 李鑫辉 李杰	湖南中医药大学学报	2024-01-25		244	HTML阅读      CNKI AI阅读
282	基于CiteSpace分析纤维肌痛综合征中医药研究现状	罗瑞莉 张刘波 李彦奇 张雨樵 鄢泽然 徐愿 陶庆文	上海中医药大学学报	2024-01-25	4	372	HTML阅读      CNKI AI阅读
283	《中华中医药学刊》刊文特征与热点分析	熊玲珠 符瀚文 陈如欣 章新友	中华中医药学刊	2024-01-23 13:45		612	HTML阅读      CNKI AI阅读
284	基于Citespace的中医药治疗卵巢囊肿研究进展的可视化分析	王改红 赵爱玲 孙其斌 韩翠荣	反射疗法与康复医学	2024-01-21		50	HTML阅读      CNKI AI阅读
285	近20年中医药防治肺纤维化的国内外研究进展——基于VOSviewer和CiteSpace的可视化分析	陆中硕 樊冰 曹连明	中医临床研究	2024-01-20	2	525	HTML阅读      CNKI AI阅读
286	基于CiteSpace分析中医药在冠心病经皮冠状动脉介入术后应用的研究热点及可视化分析	夏建文 黄建国 欧阳思敏 李念旭 易斑斓 钟希夷 余桂枝	中国当代医药	2024-01-18	2	126	HTML阅读      CNKI AI阅读
287	基于CiteSpace中医外治法治疗干眼症的可视化分析	潘凯丽 黎琴 吕蝉 廖美英 张悦 朱璐 王康美 吴帆 王桂兰 覃婷婷	全科护理	2024-01-15		325	HTML阅读      CNKI AI阅读
288	基于CiteSpace对中医“肾藏精”理论相关研究的可视化分析	卜梦雅 方梦鑫 赵嘉静 朱友华 杨亚楠 张瑜娟 黄欲晓	中国医药导报	2024-01-15		402	HTML阅读      CNKI AI阅读
289	基于CiteSpace的慢性阻塞性肺疾病中医护理技术研究的可视化分析	邱予骅 吴林梅 陈美江 梁青莲 罗珍贞 梁志金	循证护理	2024-01-09	8	910	HTML阅读      CNKI AI阅读
290	基于CiteSpace的中医药联合TACE治疗肝癌的可视化分析	刘子铭 戴铭 黄晶晶 吕建林 张文富	中国现代医生	2024-01-08		285	HTML阅读      CNKI AI阅读
291	基于CiteSpace近10年中医药科技伦理研究知识图谱分析	文皓烺 刘源 王乔 王勇 王伟 卢令慧	医学与哲学	2024-01-05		713	HTML阅读      CNKI AI阅读
292	中医药领域痤疮研究文献可视化分析	刘陆伟 杨略岭 李雨珂 王鑫鹏 叶莹 左小红	中国中医药图书情报杂志	2024-01-01	4	687	HTML阅读      CNKI AI阅读
293	中医药治疗慢性盆腔炎研究文献可视化分析	李会敏 刘丽 周小月 孙一鸣	中国中医药图书情报杂志	2024-01-01	2	514	HTML阅读      CNKI AI阅读
294	中医药治疗儿童扁桃体炎研究文献可视化分析	索兰芳 徐丽 张孟娇	中国中医药图书情报杂志	2024-01-01	2	424	HTML阅读      CNKI AI阅读
295	中医外治法治疗痛风性关节炎研究文献可视化分析	金芳梅 李浩林 阚丽丽 陈平 杨娟娟 张旭明 杨天宁 王海东	中国中医药图书情报杂志	2024-01-01	3	473	原版阅读      CNKI AI阅读
296	1997-2022年中医治疗肛周脓肿研究文献可视化分析	余丹琪 柳越冬	中国中医药图书情报杂志	2024-01-01	4	322	原版阅读      CNKI AI阅读
297	基于CiteSpace可视化分析中医药领域胃癌研究热点与趋势	凡丹 杨雪捷 田佳欢 侯婷婷 周薇 周丽	右江民族医学院学报	2023-12-30	2	362	HTML阅读      CNKI AI阅读
298	基于CiteSpace的慢性心力衰竭气虚证研究可视化分析	鲜君 喻正科 陈志红 赵启 朱筱婧 张媛	湖南中医杂志	2023-12-28	1	398	HTML阅读      CNKI AI阅读
299	近10年国家社会科学基金中医药领域项目资助概况及热点分析	黄益清 温煜杰 李小梅 张俐敏	山西中医药大学学报	2023-12-28		221	HTML阅读      CNKI AI阅读
300	基于CiteSpace的中医药治疗胰腺癌可视化分析	卢琳 李晨 梁小婷 吴思平 陈秀华	中医药导报	2023-12-28	7	797	HTML阅读      CNKI AI阅读
	篇名	作者	刊名	发表时间	被引	下载	操作
301	基于CiteSpace的中医药调节线粒体能量代谢可视化分析	唐继云 王菲 刘思源 刘萍 阳曦 李璐 欧顺华	内蒙古中医药	2023-12-28	1	223	HTML阅读      CNKI AI阅读
302	基于VOSviewer和CiteSpace的中医药领域铁死亡的知识图谱分析	任高灿 郭丽君 高风 张宏伟 马晓昌	中西医结合心脑血管病杂志	2023-12-25	3	778	HTML阅读      CNKI AI阅读
303	基于CiteSpace的中医药治疗神经根型颈椎病可视化分析	李治 陈锋 杨元确 刘涛 刘琴	中国医药导报	2023-12-25	6	386	HTML阅读      CNKI AI阅读
304	基于CiteSpace的中医药内治法干预经皮冠脉介入术后主要心血管不良事件的可视化分析	杨志飞 汪吴娇 郭伶俐 武玉泽 林谦 万洁	中国医药导报	2023-12-25	1	236	HTML阅读      CNKI AI阅读
305	近十年中医药研究心肌缺血可视化分析	岳远佳 李育 王慧敏 吉钊 荣幸 姜林	今日药学	2023-12-20 13:40	6	298	HTML阅读      CNKI AI阅读
306	基于CiteSpace对舌诊文献的计量分析	周密 周宗慧 朱青青 王东军 孙璇 田之魁 王泓午	天津中医药大学学报	2023-12-15	1	405	HTML阅读      CNKI AI阅读
307	脉诊现代化研究的现状与趋势：基于CiteSpace和VOSviewer的文献计量分析（英文） OA	张芬芬 朱国双 陈家利 张建红 董思慧 程绍民	Digital Chinese Medicine	2023-12-15	2	372	HTML阅读      CNKI AI阅读
308	基于CiteSpace的2013—2023年国内糖尿病合并冠心病中医治疗的可视化分析	张诗涵 王莉	中国医药科学	2023-12-15	3	301	HTML阅读      CNKI AI阅读
309	对科学引文索引收录中医药文献的可视化分析	李敏杰 翁洁琼 姚婷婷 何锐 王琼 康启 董静 索新祺	山西医药杂志	2023-12-15		85	HTML阅读      CNKI AI阅读
310	基于CiteSpace的中医药治疗糖尿病心肌病可视化分析	赵琦瑶 李皎月 温雅璐 袁如月 张晔 胡超越 张力 杨晓晖	中华全科医学	2023-12-08	3	581	HTML阅读      CNKI AI阅读
311	基于CiteSpace的中医药在胰腺癌治疗领域应用的可视化分析	张丁丹 田劭丹 吕丽媛 罗美 苗璐	中国医药导报	2023-12-05	1	194	HTML阅读      CNKI AI阅读
312	基于CiteSpace的中医药治疗尿路感染的可视化分析	王浩源 唐阁 祝昌昊 郭艳华 李文婷	中国医药导报	2023-12-05	1	299	HTML阅读      CNKI AI阅读
313	基于文献计量学的肝性脑病中医药研究的知识图谱可视化分析	王瑞 常占杰 吴杰 张海博 闫曙光 魏海梁 关茜 李京涛	世界中西医结合杂志	2023-11-28	2	406	HTML阅读      CNKI AI阅读
314	中国传统医学应用于慢病管理领域的文献计量学及可视化分析	钟克龙 陈竹 孔云 安雪梅	中医药管理杂志	2023-11-28	2	320	HTML阅读      CNKI AI阅读
315	基于Cite Sacep的中医适宜技术在疾病康复管理中的可视化分析	王晓芳	中医药管理杂志	2023-11-28		262	HTML阅读      CNKI AI阅读
316	中医心理学研究进展及未来展望——基于CiteSpace分析法	艾柯妤 罗文萍 李炜弘 夏阳林 朱坤 何林熹 高智垚 李李	山西中医药大学学报	2023-11-28	3	785	HTML阅读      CNKI AI阅读
317	基于CiteSpace中医药防治慢性乙型病毒性肝炎文献计量学分析	刘博文 马贵萍 仪凡 刘长英 李晓斌 李峰 胡世平	中西医结合肝病杂志	2023-11-28	3	538	HTML阅读      CNKI AI阅读
318	近30年中医儿科学教学研究概况可视化分析	王倩 史正刚 尚菁 薛付春 张金保	中医儿科杂志	2023-11-25	1	217	HTML阅读      CNKI AI阅读
319	基于CiteSpace和VOSviewer的中医药治疗乳腺癌可视化研究	李秋华 史国峰 任路	新中医	2023-11-25	5	554	HTML阅读      CNKI AI阅读
320	中医药领域预测模型研究的可视化分析 增强出版	景城阳 戴泽琦 吴雪 张乐 梁立荣 廖星	中国实验方剂学杂志	2023-11-24 15:16	5	1678	HTML阅读      CNKI AI阅读
321	肝郁气滞证文献计量分析及证候探究	李宇翔 陈亚 何飘 邱华安 曾阳 胡国恒	云南中医中药杂志	2023-11-20	1	305	HTML阅读      CNKI AI阅读
322	应用CiteSpace探究中医药治疗早泄的知识图谱和研究热点	于文晓 赵明 孙宁 赵子维 任凯 王福 王浩 郭军	浙江中医药大学学报	2023-11-20	3	515	HTML阅读      CNKI AI阅读
323	基于CiteSpace知识图谱探讨中医药对甲状腺癌围手术期治疗的可视化分析	张玺 田原 刘海鹏 范源	基层中医药	2023-11-20	1	266	HTML阅读      CNKI AI阅读
324	基于CiteSpace知识图谱的中医药治疗功能性便秘可视化分析	孙慧 陈慧 何炎琴 李春平	中国医药科学	2023-11-15	1	296	HTML阅读      CNKI AI阅读
325	基于CiteSpace中医药治疗脓毒症心肌损伤的可视化分析	金悦婷 刘芳宇 杜元 叶浩然 何莎莎 郭玉红	中国医药导报	2023-11-15	2	442	HTML阅读      CNKI AI阅读
326	基于CiteSpace软件的我国中医药治疗急性髓系白血病研究现状及热点的可视化分析	苏雅静 石慧慧 刘景文 刘洺欣 郭家缘 张曼 马秋玲	广西医学	2023-11-15	2	249	HTML阅读      CNKI AI阅读
327	脑卒中吞咽障碍国内研究热点及趋势的可视化分析	王亚杰 郑方遒 李若瑄 郑立敏	智慧健康	2023-11-15	1	304	HTML阅读      CNKI AI阅读
328	基于CiteSpace研究中医药治疗变应性鼻炎可视化分析	张永莹 许洪义	光明中医	2023-11-15	1	266	HTML阅读      CNKI AI阅读
329	基于CiteSpace的中医药治疗微血管性心绞痛可视化分析	杨志飞 汪吴娇 武玉泽 郭伶俐 林谦 万洁	天津中医药	2023-11-12	4	394	HTML阅读      CNKI AI阅读
330	1982-2022年中医药干预脊髓损伤研究热点可视化分析	张智龙 陈天鑫 杨胜平 朱瑜琪	中国中医药信息杂志	2023-10-31 09:58	1	610	HTML阅读      CNKI AI阅读
331	中医药治疗儿童注意缺陷多动障碍的文献计量及可视化分析	刘馨雅 付进杰 李亚平	中医药导报	2023-10-28	3	751	HTML阅读      CNKI AI阅读
332	基于CiteSpace/VOSviewer的中医药治疗肾病综合征现状及趋势可视化分析	谢新月 周荣易 丁申奥 魏沐沐	中医药导报	2023-10-28	7	560	HTML阅读      CNKI AI阅读
333	基于CiteSpace的麻黄连翘赤小豆汤研究进展与趋势可视化分析	肖祥 吴宣諭 任益锋 付西 由凤鸣 李雪珂	中医药导报	2023-10-28	2	501	HTML阅读      CNKI AI阅读
334	基于文献计量学分析中医药领域肺结节的研究现状和发展趋势	王星元 臧凝子 王世文 李品 庞立健 吕晓东 王曦 姜玉杰 刘璐璐	中医药导报	2023-10-28	5	707	HTML阅读      CNKI AI阅读
335	《金匮要略》的研究现状及趋势可视化分析	林沛哲 王玉琳 康帅 傅延龄 宋文杰	中医药导报	2023-10-28		1116	HTML阅读      CNKI AI阅读
336	基于新疆地方特色的西北燥证可视化分析	陈衎 万莉 高丹 姚新亚 谢群 韩璐	世界中西医结合杂志	2023-10-28	1	320	HTML阅读      CNKI AI阅读
337	基于中文数据库中医药调控细胞衰老的文献计量学分析	周志鸿 凌俞鸿 郑洋 赵铁建 原鲜玲	今日药学	2023-10-24 14:32	2	357	HTML阅读      CNKI AI阅读
338	中医药调节miRNA研究文献可视化分析	李伟青 王海东 李浩林 田雪梅 王爱华 苏小军 陈平 李向军	中国中医药信息杂志	2023-10-23 17:12	1	423	HTML阅读      CNKI AI阅读
339	中医药治疗慢性阻塞性肺疾病稳定期研究文献可视化分析	张真 刘雨 刘俊 王慧 柏正平	中国中医药信息杂志	2023-10-23 12:19	6	804	HTML阅读      CNKI AI阅读
340	基于citeSpace的中医药治疗高血压肾病知识图谱可视化分析	赵红丽 张晓凤 农婷	中国中西医结合肾病杂志	2023-10-20		309	HTML阅读      CNKI AI阅读
341	基于CiteSpace中医健康教育知识图谱可视化分析	李琨 朱波	全科护理	2023-10-20	3	518	HTML阅读      CNKI AI阅读
342	近10年中医药治疗慢性疲劳综合征的CiteSpace知识图谱分析	刘亿雨 陈睿 梁天坚 卢立炜 娄晋源	中医临床研究	2023-10-20	5	523	HTML阅读      CNKI AI阅读
343	基于VOSviewer和CiteSpace对中医治疗青光眼临床研究的可视化分析	曲铭宽 张祝强 左韬	实用中医内科杂志	2023-10-18 07:49		450	HTML阅读      CNKI AI阅读
344	基于CiteSpace的中医舌诊图像相关研究可视化分析	丁演龄 叶年华 余静	电脑编程技巧与维护	2023-10-18	1	199	HTML阅读      CNKI AI阅读
345	基于CNKI的近10年中医药治疗心力衰竭研究的可视化分析	张君 温志浩	中华养生保健	2023-10-16	1	75	HTML阅读      CNKI AI阅读
