	篇名	作者	学位授予单位	数据库	学位授予年度	被引	下载	操作
484	小檗碱调控miR-31-5p-Th17/Treg免疫网络治疗溃疡性结肠炎分子机制研究	唐梦凡	陕西中医药大学	硕士	2019	5	510	原版阅读      CNKI AI阅读
485	小檗碱对川崎病冠状动脉内皮细胞作用的实验研究	陈晓舟	遵义医科大学	硕士	2019		120	原版阅读      CNKI AI阅读
486	盐酸小檗碱对血脂异常伴动脉粥样硬化病人的疗效及安全性观察	李旸	吉林大学	硕士	2019	3	252	原版阅读      CNKI AI阅读
487	小檗碱及其衍生物抗动脉粥样硬化的作用和机制研究	裴崇哲	上海交通大学	博士	2019		267	原版阅读      CNKI AI阅读
488	参黄洗剂的制备工艺及质量标准研究	葛桂枝	华北理工大学	硕士	2019	1	511	原版阅读      CNKI AI阅读
489	黄连及小檗碱对LPS致猪肠道上皮细胞炎性损伤的调节作用及机制研究	李春林	西南大学	硕士	2019	9	492	原版阅读      CNKI AI阅读
490	小檗碱肠道氧化代谢物抗炎及抗溃疡性结肠炎的机制研究	李彩兰	广州中医药大学	博士	2019	21	1995	原版阅读      CNKI AI阅读
491	小檗碱联合芒柄花黄素诱导鼻咽癌细胞凋亡效应及凋亡途径的研究	徐冰雁	湖南中医药大学	硕士	2019		36	原版阅读      CNKI AI阅读
492	小檗碱新型代谢物的发现及与血红蛋白相互作用和体内过程研究	罗朝丹	广州中医药大学	硕士	2019	2	223	原版阅读      CNKI AI阅读
493	黄檗愈伤组织不同培养条件下有效成分含量及抗氧化活性	姜艳鑫	东北林业大学	硕士	2019	3	324	原版阅读      CNKI AI阅读
494	新型小檗碱衍生物MPB通过TAK1-TFEB依赖性宿主溶酶体途径抗菌作用研究	刘晓嘉	北京协和医学院	硕士	2019	2	201	原版阅读      CNKI AI阅读
495	黄连中黄连碱及表小檗碱抗幽门螺杆菌作用机制研究	谈丽华	广州中医药大学	硕士	2019	65	1204	原版阅读      CNKI AI阅读
496	藏药三味姜黄胶囊制备工艺及质量控制研究	赵娅	成都中医药大学	硕士	2019	2	330	原版阅读      CNKI AI阅读
497	基于自噬探讨小檗碱抗湿热证动脉粥样硬化的机制研究	李亮	广州中医药大学	硕士	2019	5	190	原版阅读      CNKI AI阅读
498	盐黄柏等级质量标准和炮制工艺研究	程中琴	成都中医药大学	硕士	2019	5	699	原版阅读      CNKI AI阅读
499	基于肠吸收-肝代谢的盐酸小檗碱与盐酸小檗胺协同效应研究	冯慧	成都中医药大学	硕士	2019	8	241	原版阅读      CNKI AI阅读
500	小檗碱抗新生隐球菌活性和作用机制研究	叶政苑	西南大学	硕士	2019	6	354	原版阅读      CNKI AI阅读
	中文题名	作者	学位授予单位	数据库	学位授予年度	被引	下载	操作
501	硫酸小檗碱在白羽肉鸡体内的药动学及冰片对其影响作用研究	马畅	山东农业大学	硕士	2019	1	141	原版阅读      CNKI AI阅读
502	小檗碱对糖尿病心肌病大鼠心脏的保护作用以及对心脏AMPK-ACC-CPT1信号通路的影响	霍梦露	安徽中医药大学	硕士	2019		59	原版阅读      CNKI AI阅读
503	基于ESIPT和AIE探针的活细胞和脂滴实时荧光成像研究	李彦杰	西南大学	博士	2019	2	624	原版阅读      CNKI AI阅读
504	基于黄连多糖对小肠上皮细胞紧密连接的调控作用探讨黄连水煎液中小檗碱肠吸收机制	徐慧慧	安徽中医药大学	硕士	2019		89	原版阅读      CNKI AI阅读
505	小檗碱缓解LPS诱导ARDS中内皮细胞多糖包被的损伤并促进其修复	黄丽娜	滨州医学院	硕士	2019	1	141	原版阅读      CNKI AI阅读
506	纳米粒子在抗菌类药物分析中的应用研究	刘庆	西北大学	硕士	2019		138	原版阅读      CNKI AI阅读
507	四黄止痢复方中药提取物抗禽致病性大肠杆菌作用效果研究	孙嘉一	锦州医科大学	硕士	2019	8	546	原版阅读      CNKI AI阅读
508	小檗碱及二甲双胍对饮食引起的肥胖大鼠肠系膜及其血管病变的调节作用	王嫚	河北医科大学	硕士	2019	2	157	原版阅读      CNKI AI阅读
509	顺胃降逆颗粒的制备工艺研究	张越	山西省中医药研究院	硕士	2019	1	186	原版阅读      CNKI AI阅读
510	盐酸小檗碱与氟康唑联用抗耐药白色念珠菌的作用研究	雍江堰	成都中医药大学	硕士	2019	4	391	原版阅读      CNKI AI阅读
511	盐酸小檗碱对脂多糖诱导的人子宫内膜基质细胞炎症作用的研究	骆晓荣	兰州大学	硕士	2019	3	343	原版阅读      CNKI AI阅读
512	小檗碱对EA.hy926细胞增殖、迁移的抑制及机制研究	李力	安徽医科大学	硕士	2019	1	180	原版阅读      CNKI AI阅读
513	盐酸小檗碱与柠檬酸/乳酸共晶的制备、表征与性质研究	卢琪	上海工程技术大学	硕士	2019	1	452	原版阅读      CNKI AI阅读
514	盐酸小檗碱与人血清白蛋白相互作用研究	胡玉玮	河北科技大学	硕士	2019	4	498	原版阅读      CNKI AI阅读
515	盐酸小檗碱缓释片的制备工艺及质量标准研究	陈梦秋	武汉工程大学	硕士	2018	4	1241	原版阅读      CNKI AI阅读
516	小檗碱抑制子宫内膜癌细胞增殖的作用与机制研究	王玉	中国医科大学	博士	2018	4	365	原版阅读      CNKI AI阅读
517	黄柏炮制前后药代动力学及质变成分药效作用研究	雷雪霏	辽宁中医药大学	博士	2018	28	1380	原版阅读      CNKI AI阅读
518	小檗碱通过激活线粒体途径诱导口腔鳞癌HN-4细胞凋亡	管兆兰	南京医科大学	硕士	2018		120	原版阅读      CNKI AI阅读
519	小檗碱改善动脉粥样硬化小鼠的血管炎性反应和钙化	李晓明	北京协和医学院	硕士	2018	4	541	原版阅读      CNKI AI阅读
520	小檗碱抑制NLRP3炎性体活性的分子机制研究	李晓瑞	北京中医药大学	硕士	2018		75	原版阅读      CNKI AI阅读
521	过表达小檗碱桥接酶对博落回中异喹啉类生物碱的影响	徐敏	湖南农业大学	硕士	2018	1	81	原版阅读      CNKI AI阅读
522	黄连素治疗多囊卵巢综合征的系统评价和Meta分析	刘洋	黑龙江中医药大学	硕士	2018		99	原版阅读      CNKI AI阅读
523	复合益生菌与中草药配伍对断奶仔猪生长性能和粪样微生物区系的影响	杨灿宇	河南农业大学	硕士	2018	1	137	原版阅读      CNKI AI阅读
524	小檗碱作用下养殖池塘中MCs时空分布特征及其与重要环境因子间相关性研究	刘斌	天津农学院	硕士	2018		47	原版阅读      CNKI AI阅读
525	小檗碱对拟南芥根部thalianol和marneral基因簇作用的研究	马菁菁	华南农业大学	硕士	2018	2	87	原版阅读      CNKI AI阅读
526	小檗碱及其类似物对薇甘菊和胜红蓟的防治及机理研究	田延琴	华南农业大学	硕士	2018	3	191	原版阅读      CNKI AI阅读
527	盐酸小檗碱抑制金黄色葡萄球菌α-溶血素及其诱导的氧化损伤	车美垚	吉林大学	硕士	2018	12	516	原版阅读      CNKI AI阅读
528	左金方及其主要成分对SGC7901细胞上皮间质转化的影响	王小兰	广州中医药大学	硕士	2018	4	157	原版阅读      CNKI AI阅读
529	四氢小檗碱药物共晶的合成及性质研究	张大俊	佳木斯大学	硕士	2018	4	454	原版阅读      CNKI AI阅读
530	交泰丸有效部位自乳化释药体系的建立及抗抑郁作用研究	张菁楠	佳木斯大学	硕士	2018	2	156	原版阅读      CNKI AI阅读
531	小檗碱吸收预测模型建立与中药生物药剂学分类系统属性的研究	尹秀文	北京中医药大学	硕士	2018	6	577	原版阅读      CNKI AI阅读
532	小檗碱对治疗溃疡性结肠炎疗效的临床观察	肖尧生	福建中医药大学	硕士	2018	4	313	原版阅读      CNKI AI阅读
533	小檗碱对水稻细菌性条斑病菌的抑菌机制分析	黎芳靖	广西大学	硕士	2018	21	616	原版阅读      CNKI AI阅读
534	硫酸小檗碱对损伤IPEC-J2中EGFR、EGF、IGF1基因mRNA表达的影响	徐环叶	河北农业大学	硕士	2018		207	原版阅读      CNKI AI阅读
535	SnO2/SnO2-Au荧光纳米簇的制备及应用	温傲立	湖南科技大学	硕士	2018		63	原版阅读      CNKI AI阅读
536	复方贞术调脂方物质基础及过程分析技术研究	黎珊珊	广东药科大学	硕士	2018	5	285	原版阅读      CNKI AI阅读
537	植物源药物筛选及小檗碱抑制番茄早疫病菌作用机制的研究	王如意	北京化工大学	硕士	2018	6	540	原版阅读      CNKI AI阅读
538	糖网明目颗粒制备工艺和质量标准研究报告	张桂杰	延边大学	硕士	2018		147	原版阅读      CNKI AI阅读
539	三七和黄连提取物肠道菌群代谢及药代动力学初步研究	周律	广东药科大学	硕士	2018	6	1045	原版阅读      CNKI AI阅读
540	苍柏祛痛胶囊药效学研究和质量控制体系建立	吴晶	甘肃农业大学	博士	2018	1	203	原版阅读      CNKI AI阅读
541	小檗碱对人肾细胞癌细胞增殖、凋亡、DNA断裂及损伤修复的影响	李孝峰	山东大学	硕士	2018	1	191	原版阅读      CNKI AI阅读
542	基于下调IDO1表达的川楝素及新型小檗碱衍生物抗肿瘤作用及机制研究	庞伟强	北京协和医学院	硕士	2018	1	253	原版阅读      CNKI AI阅读
543	小檗碱对刀豆蛋白A诱导的肝损伤的保护作用及其分子机制的研究	王阳阳	天津医科大学	博士	2018	8	525	原版阅读      CNKI AI阅读
544	小檗碱对宫颈癌细胞抑制作用及放射增敏性研究	刘明珠	郑州大学	博士	2018	10	507	原版阅读      CNKI AI阅读
545	小檗碱对Ⅱ型糖尿病脑病模型大鼠认知功能影响的分子机制	陈清杰	华中科技大学	博士	2018	8	870	原版阅读      CNKI AI阅读
546	从肠道黏膜屏障与免疫系统探讨小檗碱改善糖脂代谢紊乱的机制	巩静	华中科技大学	博士	2018	8	1301	原版阅读      CNKI AI阅读
547	法尼酯受体在盐酸小檗碱改善肥胖SD幼鼠脂代谢中的作用及肥胖子代血清生物标志物的研究	王安茹	华中科技大学	博士	2018	1	410	原版阅读      CNKI AI阅读
548	高脂饲料诱导的SD大鼠肠道菌群分布特征及糖肾胶囊干预后的影响	黄飞	北京中医药大学	博士	2018	14	1152	原版阅读      CNKI AI阅读
549	葛根岑连汤四种表征成分效阈浓度下配伍的抗肝细胞IR效应及机理	黄伟	北京中医药大学	博士	2018	8	1506	原版阅读      CNKI AI阅读
550	小檗碱对EAE小鼠星形胶质细胞SPHK1/S1P/S1PR1、3通路影响的研究	罗家明	重庆医科大学	博士	2018		516	原版阅读      CNKI AI阅读
	中文题名	作者	学位授予单位	数据库	学位授予年度	被引	下载	操作
551	小檗碱诱导胶质瘤死亡方式及其干扰脂肪酸代谢的研究	孙玉学	吉林大学	博士	2018	3	433	原版阅读      CNKI AI阅读
552	小檗碱调控PPM1B信号通路改善胰岛素抵抗的作用机制研究	吴阳升	浙江中医药大学	硕士	2018		45	原版阅读      CNKI AI阅读
553	治疗慢性结肠炎新药-愈肠颗粒的制剂及药效学研究	邵雪庆	中国人民解放军海军军医大学	硕士	2018		121	原版阅读      CNKI AI阅读
554	PAMAM包覆大黄酚、盐酸小檗碱复方脂质体制备及评价研究	赖斯思	广州中医药大学	硕士	2018	1	282	原版阅读      CNKI AI阅读
555	小檗碱通过PP2A信号通路缓解肺动脉高压的机制研究	罗杰	南京医科大学	硕士	2018		89	原版阅读      CNKI AI阅读
556	金葡的PJI体液适应性及小檗碱抗PJI的实验研究	谈佳琪	上海交通大学	硕士	2018		90	原版阅读      CNKI AI阅读
557	小檗碱通过抑制线粒体复合物Ⅰ改善脂代谢	俞牧雨	上海交通大学	硕士	2018	5	393	原版阅读      CNKI AI阅读
558	植物源杀菌剂苦参碱增效复配研究	宋爽	西北农林科技大学	硕士	2018	16	1020	原版阅读      CNKI AI阅读
559	黄连素治疗慢性肾小球肾炎湿热内蕴证的临床观察	祝家乐	湖南中医药大学	硕士	2018	2	199	原版阅读      CNKI AI阅读
560	野生与种植黄连总生物碱总蛋白的检测及其盐酸小檗碱的生源代谢酶初探	曾燕	湖南中医药大学	硕士	2018	1	288	原版阅读      CNKI AI阅读
561	小檗碱对人卵巢癌细胞PD-L1和PD-1 mRNA的表达的作用	孟囿园	成都中医药大学	硕士	2018	11	330	原版阅读      CNKI AI阅读
562	小檗碱对人卵巢癌细胞SKOV-3、A2780 TDO、AhR mRNA表达影响的研究	马丽莎	成都中医药大学	硕士	2018	1	129	原版阅读      CNKI AI阅读
563	盐酸小檗碱对白色念珠菌生物膜表型和关键基因表达的影响研究	易玉玲	成都中医药大学	硕士	2018	2	404	原版阅读      CNKI AI阅读
564	盐酸小檗碱增强美沙拉嗪在治疗溃疡性结肠炎中的作用机制研究	李洪梅	广西医科大学	硕士	2018	3	239	原版阅读      CNKI AI阅读
565	表柔比星和小檗碱对涎腺腺样囊性癌ACC2细胞系增殖，凋亡，自噬的影响	周文博	吉林大学	硕士	2018	3	120	原版阅读      CNKI AI阅读
566	基于吸收的盐酸小檗胺、盐酸小檗碱协同机制研究	周珍	成都中医药大学	硕士	2018	7	234	原版阅读      CNKI AI阅读
567	黄连解毒汤与小檗碱在治疗2型糖尿病大鼠过程中对肾脏的影响及差异	申倩玉	天津医科大学	硕士	2018	2	227	原版阅读      CNKI AI阅读
568	小檗碱对晚期糖基化终末产物（AGEs）诱导的小鼠小胶质细胞活化的干预作用	万瑾舒	北京协和医学院	硕士	2018	3	343	原版阅读      CNKI AI阅读
569	黄藤中黄藤素和药根碱的大鼠体内药代动力学研究	郑京玉	吉林农业大学	硕士	2018	4	411	原版阅读      CNKI AI阅读
570	利拉鲁肽对高糖条件下HepG2细胞胆固醇流出的作用及小檗碱对高脂饮食ApoE-/-小鼠脂质代谢的影响	马春艳	北京协和医学院	硕士	2018	2	323	原版阅读      CNKI AI阅读
571	差异蛋白质组研究延胡索活性单体的抗血小板聚集作用机制	谭程宁	重庆大学	硕士	2018	9	229	原版阅读      CNKI AI阅读
572	基于SBA-15型介孔分子筛的中药单体有效成分药物传递系统的研究	刘勋	内蒙古医科大学	硕士	2018	1	256	原版阅读      CNKI AI阅读
573	盐酸小檗碱、阿莫西林、兰索拉唑、铋剂四联疗法根除幽门螺杆菌283例临床研究	梁丽娟	中国人民解放军空军军医大学	硕士	2018	2	272	原版阅读      CNKI AI阅读
574	小檗碱抑制小肠葡萄糖吸收降低糖尿病餐后高血糖及其机制	张敏	中国人民解放军空军军医大学	硕士	2018	4	390	原版阅读      CNKI AI阅读
575	小檗碱9位贝特类衍生物的设计合成研究	韩谢	武汉工程大学	硕士	2018	3	304	原版阅读      CNKI AI阅读
576	复方奥硝唑小檗碱口腔膜的制备及其抗SD大鼠牙周炎作用研究	赖筱姮	福建医科大学	硕士	2018		311	原版阅读      CNKI AI阅读
577	BCNP的制备及质量初步评价	袁誉铭	重庆医科大学	硕士	2018	1	110	原版阅读      CNKI AI阅读
578	小檗碱干预高糖环境下HCCLM3细胞的抗肿瘤机制研究	刘倩	南昌大学	硕士	2018		144	原版阅读      CNKI AI阅读
579	黄连对朱砂肾毒性配伍减毒的物质基础及机制研究	周颖	锦州医科大学	硕士	2018	4	361	原版阅读      CNKI AI阅读
580	小檗碱有机酸盐降糖安全性及作用机制研究	李静婉	浙江农林大学	硕士	2018		260	原版阅读      CNKI AI阅读
581	8-辛基小檗碱对急性肝损伤的保护作用及其机制研究	向红梅	西南大学	硕士	2018	3	174	原版阅读      CNKI AI阅读
582	MicroRNA在人结直肠癌不同部位的表达差异分析及中药单体干预	刘红	广州中医药大学	博士	2018	3	348	原版阅读      CNKI AI阅读
583	加味四妙颗粒制备工艺和质量标准研究	谢凡	成都中医药大学	硕士	2018	7	458	原版阅读      CNKI AI阅读
